Slide ID,Section,Section name,Slide,Purpose,Suggested title,What goes on it,Presenta layout,Slide style,Required inputs / assets,Optional inputs,Baseline,Order,Notes
S152,08,Commercials & Delivery,Cost per Seat,Give the one figure that travels — the number quoted in the meeting the client has after this one.,{cost_per_seat} per seat,"The figure, what it includes and excludes, and the benchmark band.",stat-hero,standard,Cost per seat,Benchmark range; inclusions and exclusions list,R,96,Always state inclusions. A cost-per-seat without them is meaningless and will be misquoted.
S153,08,Commercials & Delivery,BOQ Highlights,"Surface the line items that actually move the number, rather than the whole schedule.",Where the money goes,"The top 10-15 lines by value, with quantity, rate and total.",title-content,standard,BOQ,Rate basis; alternates,O,97,GAP: no line-item table layout. SpaceBoq exists as a placeholder type only — the real table is unbuilt.
S154,08,Commercials & Delivery,Value Engineering Options,"Give the client levers to pull if the number is too high, before they start cutting arbitrarily.",Value engineering options,"Option, saving, and what is given up — so the trade-off is explicit.",two-content,standard,VE options with savings,Impact assessment per option,O,98,GAP: no comparison-table layout. Always state what is lost; a saving without a cost reads as padding.
S155,08,Commercials & Delivery,Project Timeline,Show when it will be finished and what has to happen for that to hold.,Programme,"Phases from design through handover, with milestones, dependencies and the critical path.",merge-diagram,standard,Project programme,Critical path; client-side decision dates,M,99,GAP: no timeline or Gantt layout. merge-diagram shows sequence but neither duration nor overlap.
S156,08,Commercials & Delivery,Delivery Model & Team,"Show who does what, and who the client calls when something goes wrong.",How we deliver,"Team structure, roles, reporting lines, governance rhythm, escalation path.",merge-diagram,standard,Delivery team structure,Named individuals; governance calendar,R,100,Name the single point of contact. It is the thing clients most want from this slide.
S157,08,Commercials & Delivery,Site Safety & Quality,"Show how the site will be run, which matters most where work happens in a live building.",Safety and quality on site,"Safety protocol, quality checkpoints, inspection regime, snagging process.",title-content,standard,Safety and quality process,Certifications; inspection schedule,O,101,"Escalates for refurbishment in an occupied building, and for plant-attached projects."
S158,08,Commercials & Delivery,Operations & Handover,Show what the client receives at handover and how the space is run afterwards.,Handover,"Handover deliverables, O&M manuals, training, soft-landing period, facilities interface.",title-content,standard,Handover scope,O&M documentation list; training plan,O,102,"Mandatory for managed-office projects, where the operator has to run it from day one."
S159,08,Commercials & Delivery,Warranty & Post-Handover,"State what is covered, for how long, and who to call.",Warranty and support,"Warranty periods by element, defects liability, response times, support contact.",title-content,standard,Warranty terms,Defects liability period; SLA,O,103,Specific periods per element. A blanket '1 year warranty' invites disputes later.
S160,08,Commercials & Delivery,Risks & Assumptions,"Put the assumptions in writing now, so a later change is a variation rather than an argument.",Risks and assumptions,"Key assumptions, risks with likelihood and mitigation, dependencies on the client.",two-content,standard,Assumption and risk register,Mitigation owner per risk,O,104,The most under-used slide in the library and the one that saves the most money.
S161,08,Commercials & Delivery,Next Steps,Leave the room with a decision and a date rather than goodwill.,Next steps,"3-5 actions, each with an owner and a date, and what is needed to proceed.",title-only,standard,Agreed next steps,Decision dates; approval requirements,M,105,"Owner and date on every line. A next-steps slide without both is a summary, not a close."
S162,08,Commercials & Delivery,Thank You / Contact,"Close cleanly, leaving contact details on screen through the Q&A.",Thank you,"Contact details, both logos, one closing image.",title-slide,section-starter,Contact details; logos,A closing hero image,M,106,This slide stays up during questions — keep contact details legible from the back of the room.
